invoice_number,customer_name,invoice_date,due_date,amount,payment_date
INV-1001,Riverside Manufacturing,2025-12-15,2026-01-14,12500.00,2026-01-10
INV-1002,Summit Healthcare Group,2025-12-20,2026-01-19,8750.00,
INV-1003,Pacific Coast Distributors,2026-01-05,2026-02-04,3200.00,2026-02-01
INV-1004,Greenfield Consulting,2026-01-10,2026-02-09,15000.00,
INV-1005,Atlas Engineering Corp,2026-01-15,2026-02-14,6800.00,2026-02-15
INV-1006,Summit Healthcare Group,2026-01-22,2026-02-21,4500.00,
INV-1007,Meridian Financial Services,2026-02-01,2026-03-03,22000.00,
INV-1008,Riverside Manufacturing,2026-02-05,2026-03-07,9100.00,2026-03-05
INV-1009,Coastal Properties LLC,2026-02-10,2026-03-12,7250.00,
INV-1010,Greenfield Consulting,2026-02-15,2026-03-17,11500.00,
INV-1011,Pacific Coast Distributors,2026-02-20,2026-03-22,2800.00,
INV-1012,Atlas Engineering Corp,2026-03-01,2026-03-31,18500.00,
INV-1013,Meridian Financial Services,2026-03-05,2026-04-04,5600.00,
INV-1014,Coastal Properties LLC,2025-11-10,2025-12-10,14200.00,
INV-1015,Summit Healthcare Group,2025-10-15,2025-11-14,9800.00,
INV-1016,Riverside Manufacturing,2026-03-10,2026-04-09,3400.00,
INV-1017,Greenfield Consulting,2025-09-20,2025-10-20,7600.00,
INV-1018,Pacific Coast Distributors,2026-03-15,2026-04-14,6100.00,
